Geography Factoid Questions||||||
Question|Focus|Mod|Coarse Class|Fine Class|Answer|
Türklerin Orta Asya'dan göç etmelerinin temel sebebi neydi?|sebebi|temel|DESCRIPTION|REASON|Kuraklık|
Türkmeninstan'ın kuruluş yılı nedir?|kuruluş yılı||TEMPORAL|DATE|1991|
Türsab nedir?|Türsab||ABBREVIATION|EXPRESSION|Türkiye Seyahat Acenteleri Birliği|
Üç tarafı sularla kaplı kara parçasına ne ad verilir?|kara parçasına ad||ENTITY|ENTITY|Yarımada|
Ulaşımda sınırlayıcı etki yapan en önemli faktör nedir?|faktör|en önemli|DESCRIPTION|REASON|Dağlık ve engebeli arazi|
Ülke sınırlarını gösteren haritalar hangileridir?|haritalar||DESCRIPTION|DEFINITION|Siyası Haritalar.|
Ülkeler arası beyin göçü hangi yıldan sonra hız kazanmıştır?|yıldan sonra||TEMPORAL|DATE|1960|
Ülkemizde cumhuriyet öncesi ilk nüfus sayımı hangi tarihte yapılmıştır?|tarihte||TEMPORAL|DATE|1831|
Ülkemizde en çok nüfusu olan il hangisidir?|il||LOCATION|CITY|İstanbul|
Ülkemizde hangi bölge dışında bütün bölgelerde şeker fabrikası vardır?|bölge dışında||LOCATION|REGION.LOCAL|Güneydoğu Anadolu|
Ülkemizde kaç ilde kaplıca bulunmaktadır?|ilde||NUMERIC|COUNT|46|
Ülkemizde şu an faal durumda olan kaç organize sanayi vardır?|organize sanayi||NUMERIC|COUNT|100 civarı|
Ülkemizde volkanik tüflerin aşınmasıyla oluşmuş yer şekilleri nerede bulunur?|bulunur||LOCATION|LOCATION||
Ülkemizdeki 2010 yılında toplam turist sayısı ne kadardır?|turist sayısı kadardır|toplam|NUMERIC|SIZE.POPULATION|28.632.204|
Ülkemizdeki göllerin toplam yüzölçümü ortalama olarak ne kadardır?|yüzölçümü kadardır|ortalama olarak|NUMERIC|SIZE.AREA|10000 m2|
Ülkemize çölden esen rüzgâr hangisidir?|rüzgâr||ENTITY|WIND|Sam Yeli|
Ülkemizin de içinde bulunduğu deprem kuşağı hangisidir?|deprem kuşağı||ENTITY|OTHERS||
Ülkemizin en işlek limanı hangisidir?|limanı|en işlek|ENTITY|OTHERS|İstanbul limanı|
Ülkemizin yüzde kaçı ormanlarla kaplıdır?|ülkemizin yüzde||NUMERIC|PERCENTAGE|0.28/%28/28%|
Ülkemizin yüzde kaçı şehirlerde yaşamaktadır?|ülkemizin yüzde||NUMERIC|PERCENTAGE|%76.3|
Uluslar arası örgütlerin kuruluşu, yapısı ve faaliyetleri hangi coğrafya alt dalının inceleme alanına girmektedir?|dalının|alt|ENTITY|OTHERS|Siyasi coğrafya|
Umit Burnu hangi kıtadadır?|kıtadadır||LOCATION|CONTINENT|Afrika|
Ümit burnu kimin tarafından keşfedilmiştir?|tarafından keşfedilmiştir||HUMAN|INDIVIDUAL|Bartelmi Diaz|
Ümit burnu ne zaman keşfedilmiştir?|zaman keşfedilmiştir||TEMPORAL|DATE|1487|
Ümit Burnuna ilk kez ulaşan denizci kimdir?|denizci||HUMAN|INDIVIDUAL|Vasco da Gama|
UNEP ne zaman kurulmuştur?|zaman kurulmuştur||TEMPORAL|DATE|1972|
UNEP'in merkezi hangi ülkededir?|ülkededir||LOCATION|COUNTRY|Kenya|
UNEP'in Türkçe açılımı nedir?|açılımı|Türkçe|ABBREVIATION|EXPRESSION|Birleşmiş milletler çevre programı|
UNESCO Türkiye'den kaç kültürel varlığı Dünya Miras Listesine eklemiştir?|kültürel varlığı||NUMERIC|COUNT|10|
UNESCO'nun açılımı nedir?|açılımı||ABBREVIATION|EXPRESSION|Birleşmiş Milletler Eğitim, Bilim ve Kültür Teşkilatı|
UNESCO'nun Türkçe açılımı nedir?|açılımı|Türkçe|ABBREVIATION|EXPRESSION|BM bilim ve kültür örgütü|
Uranyum ve toryum gibi elektron yayan maddelerin doğal denge halindeki diğer maddelerin atom yapılarını bozmasına ne denir?|bozmasına denir||DESCRIPTION|DEFINITION|Nükleer kirlilik|
Üretilen mal ve hizmetlerin alınıp satılmasına ne denir?|alınıp satılmasına denir||DESCRIPTION|DEFINITION|Ticaret|
Uşak hangi yıl il haline getirildi?|yıl||TEMPORAL|DATE|1953|
Uzun bir zaman içinde yağışın belirgin bir şekilde normal değerlerin altına düşmesine ne denir?|düşmesine denir||DESCRIPTION|DEFINITION|Kuraklık|
Uzun süreli ve devamlı kalmak üzere yapılan göçlere ne denir?|göçlere denir||DESCRIPTION|DEFINITION|Kalıcı göç|
Uzun yıllar devam eden atmosfer olaylarının ortalama durumunu inceleyen bilim dalı hangisidir?|bilim dalı||DESCRIPTION|DEFINITION|iklim|
Volkan konisinin tepe kısmındaki çukur kısma ne denilmektedir?|kısıma denilmektedir|çukur|DESCRIPTION|DEFINITION|Volkan ağzı/krater|
Volkan konisinin tepe kısmındaki çukurluğa ne denir?|çukurluğa denir||DESCRIPTION|DEFINITION|Krater|
Volkan tüfü kaç cm uzunluğundadır?|cm||NUMERIC|SIZE.LENGTH||
Volkan tüfünün uzunluğu kaç cm.dir?|cm.dir||NUMERIC|SIZE.LENGTH||
Volkanik alanlardaki çukurların suyla dolması sonucu oluşan göllere ne isim verilir?|göllere isim||DESCRIPTION|DEFINITION|Volkanik göl|
Volkanik kökenli adaların en fazla bulunduğu yer neresidir?|yer||LOCATION|REGION||
Volkanik püskürtmeler sırasında görülen etki alanları dar olan depremlere ne denir?|depremlere denir||DESCRIPTION|DEFINITION|Volkanik depremler|
Volkanizma sonucu yüzeye sıvı halde lavlar çıkarken gaz halinde çıkan nedir?|gaz halinde çıkan||ENTITY|SUBSTANCE||
Volkanlardan çıkan akışkan maddelere ne ad verilir?|akışkan maddelere ad||DESCRIPTION|DEFINITION|Lav|
Volkanlardan çıkan akışkan maddeye ne ad verilir?|maddeye ad|akışkan|DESCRIPTION|DEFINITION|Lav|
Volkanlardan çıkan katı maddelere ne ad verilir?|katı maddelere ad||DESCRIPTION|DEFINITION|Volkan tüfü|
Volkanlardan çıkan kum boyutundaki malzemeler ile yamaç eteklerindeki kolüvyal depolar üzerinde oluşan topraklara ne denir?|topraklara denir||DESCRIPTION|DEFINITION|Regosol|
Volkanlardan çıkan lavların bir çukurluğun ve vadinin önünü kapamasıyla oluşan göllere ne denir?|göllere denir||DESCRIPTION|DEFINITION|Volkanik set gölleri|
Volkanlardan çıkan volkan tüfü, lapilli ve volkan bombası isimlerini neye göre alırlar?|göre||DESCRIPTION|MANNER|Boyutlarına göre|
WCS'nin Türkçe açılımı nedir?|açılımı|Türkçe|ABBREVIATION|EXPRESSION|Doğal hayatı koruma derneği|
WHO'nun Türkçe açılımı nedir?|açılımı|Türkçe|ABBREVIATION|EXPRESSION|Dünya sağlık örgütü|
WWF ne zaman kurulmuştur?|zaman kurulmuştur||TEMPORAL|DATE|1961|
WWF'nin kaç ülkede şubesi vardır?|ülkede||NUMERIC|COUNT|50|
WWF'nin Türkçe açılımı nedir?|açılımı|Türkçe|ABBREVIATION|EXPRESSION|Dünya doğal yaşamı koruma vakfı|
Yağışın az ve bitki örtüsünün zayıf olduğu yerlerde hangi hayvancılık çeşidi gelişmiştir?|hayvancılık çeşidi||ENTITY|OTHERS|Küçükbaş|
Yağışlarda ya da kar erimelerinden sonra suların yer yüzeyinin tamamını kaplayarak akması olayına ne ad verilir?|olayına ad||DESCRIPTION|DEFINITION|Seyelan|
Yağışlı dönemde bol su taşıyan akarsular temelde nereden beslenir?|beslenir||ENTITY|ENTITY|Yağmur|
Yağmurla beslenen akarsular daha çok hangi iklimde görülür?|iklimde||ENTITY|OTHERS|Akdeniz|
Yamaç boyunca taş, kum ve toprak tabakalarının yer değiştirmesi olayına ne denir?|yer değiştirmesi olayına denir||DESCRIPTION|DEFINITION|Kütle hareketi|
Yaşlı nüfus olarak kabul edilen yaş grubu nedir?|yaş grubu||NUMERIC|RANGE|65 ve üzeri|
Yazı ilk defa hangi uygarlık tarafından bulunmuştur?|uygarlık||HUMAN|NATION|Sümerler|
Yazları yağışlı tropikal iklim bölgesinde yağışlı dönemde yeşeren, kurak dönemde kuruyan yüksek boylu ot topluluklarına ne ad verilir?|ot topluluklarına ad||DESCRIPTION|DEFINITION|Savan|
Yer kabuğunda meydana gelen ani ve kısa süreli sarsıntılara ne ad verilir?|sarsıntılara ad||DESCRIPTION|DEFINITION|Deprem|
Yer kabuğunun ana maddesi olan ve minerallerden meydana gelen katı cisimlere ne ad verilir?|katı cisimlere ad||DESCRIPTION|DEFINITION||
Yer kabuğunun derinliklerinde basınç ve gerilimler sonucu, katmanların yer değiştirme, oynama ve kırılma gibi hareketlerinin ortaya çıkardığı sarsıntılara ne denir?|sarsıntılara denir||DESCRIPTION|DEFINITION|Tektonik depremler|
Yer kabuğunun karalardaki ortalama kalınlığı ne kadardır?|kalınlığı kadardır|ortalama|NUMERIC|SIZE.DEPTH|35 Km/40 Km|
Yer kabuğunun okyanuslardaki ortalama kalınlığı ne kadardır?|kalınlığı kadardır|ortalama|NUMERIC|SIZE.DEPTH|8 Km/12 Km|
Yer kabuğunun ortalama kalınlığı denizlerde ne kadardır?|kalınlığı kadardır|ortalama|NUMERIC|SIZE.WIDTH||
Yer kabuğunun ortalama kalınlığı karalarda kaç km. aralığındadır?|km.||NUMERIC|RANGE||
Yer kürede hangi yönden esen rüzgarlar sıcaklığı yükseltir?|yönden||ENTITY|OTHERS|güney|
Yer şekilleri düz ve su kaynakları sınırlı olan bölgelerde görülen yerleşim çeşidi nedir?|yerleşim çeşidi||DESCRIPTION|DEFINITION|Toplu yerleşim|
Yer şekillerini gösteren haritaların adı nedir?|haritaların adı||DESCRIPTION|DEFINITION|Fiziki Haritalar|
Yer şekillerinin az engebeli olduğu yerlerde görülen yerleşmeye ne ad verilir?|yerleşmeye ad||DESCRIPTION|DEFINITION|Dairesel yerleşme|
Yer yuvarlağındaki iç içe kürelere ne ad verilir?|kürelere ad|iç içe|ENTITY|SPHERE|Geosfer|
Yer Yuvarlağını meydana getiren iç içe geçmiş kürelere ne isim verilir?|kürelere isim|iç içe geçmiş|ENTITY|ENTITY|katman|
Yere Batan Sarnıcı hangi tarihler arasında yaptırılmıştır?|tarihler arasında||TEMPORAL|DATE|532-537 yılları|
Yere Batan Sarnıcı kim tarafından yaptırılmıştır?|tarafından||HUMAN|INDIVIDUAL|I.Jüstinyen|
Yerin derinliklerinde bulunan magmanın, yerkabuğunun zayıf kısımlarından yeryüzüne çıkmasına ne denir?|çıkmasına denir||DESCRIPTION|DEFINITION|Volkanizma|
Yerin derinliklerindeki sıcaklıkla ilgili olan ve bu güçle ısınarak oluşan enerjiye ne denir?|enerjiye denir||DESCRIPTION|DEFINITION|Jeotermal enerji|
Yerkürenin en ince tabakası hangisidir?|tabakası|en ince|ENTITY|OTHERS|Litosfer/Taşküre|
Yerkürenin en kalın katmanı hangisidir?|katmanı|en kalın|ENTITY|OTHERS|Çekirdek|
Yerkürenin hemen üzerinde yer alan atmosfer tabakasının adı nedir?|atmosfer tabakasının adı||ENTITY|OTHERS|Troposfer|
Yerleşmeyi sınırlandıran en önemli faktör nedir?|faktör|en önemli|DESCRIPTION|REASON|Denizler|
Yeryüzü şekillerinin oluşmasına sebep olan nedir?|sebep||DESCRIPTION|REASON||
Yeryüzünde depremlerin çoğunluğu nerede olur?|olur||LOCATION|REGION||
Yeryüzünde en çok ısınan alanlar nerelerdir?|alanlar||LOCATION|REGION|dönenceler etrafındaki çöller|
Yeryüzünde en şiddetli kasırgalar hangi kuşakta görülür?|kuşakta||ENTITY|OTHERS|Tropikal|
Yeryüzünde en soğuk ay ortalaması 10 C'nin üzerinde olan iklim kuşağına ne isim verilir?|iklim kuşağına isim||ENTITY|OTHERS|ılıman iklim kuşağı|
Yeryüzünde kaç farklı sıcaklık kuşağı oluşmuştur?|farklı||NUMERIC|COUNT|3|
Yeryüzünde kaç tane etkin volkan vardır?|tane etkin volkan||NUMERIC|COUNT||
Yeryüzünde kendine özgü bir iklimi, bitki örtüsü ve hayvan topluluğu bulunduran bölgelere ne ad verilir?|bölgelere ad||DESCRIPTION|DEFINITION|Biyom|
Yeryüzünde özellikle aşırı yağış alan eğimli bölgelerde yaygın olarak görülen kütle hareketlerine ne denir?|kütle hareketlerine denir||DESCRIPTION|DEFINITION|Heyelan|
Yeryüzünde soğuk kuşak olarak adlandırılan iklim kuşağında en sıcak ayın ortalama sıcaklığı ne kadardır?|sıcaklığı kadardır|ortalama|NUMERIC|AVERAGE|6 C'nin altında|
Yeryüzündeki ayrıntıları en az hata ile bir düzlem üzerinde gösterebilmek için geliştirilen metotlara ne ad verilir?|metotlara ad||DESCRIPTION|DEFINITION|İz düşüm metotları|
Yeryüzündeki bir noktanın ekvatora en yakın uzaklığının açı olarak değerine ne denir?|değerine denir||DESCRIPTION|DEFINITION|enlem|
Yeryüzündeki büyük kara parçalarına ne ad verilir?|kara parçalarına ad|büyük|DESCRIPTION|DEFINITION|Kıta|
Yeryüzündeki deprem bölgelerinin dağılışı neyle paralellik gösterir?|dağılışı paralellik gösterir||DESCRIPTION|DESCRIPTION|Fay hatlarının dağılışı|
Yeryüzündeki depremlerin yüzde kaçı Akdeniz-Himalaya kuşağında meydana gelir?|depremlerin yüzde||NUMERIC|PERCENTAGE|21%|
Yeryüzündeki etkin volkanların kaçı Büyük Okyanus çevresindedir?|volkanların|etkin|NUMERIC|COUNT||
Yeryüzündeki etkin volkanların yüzde kaçı Büyük Okyanus çevresindedir?|volkanların yüzde|etkin|NUMERIC|PERCENTAGE||
Yeryüzündeki kayaçlar kaç ana grupta sınıflandırılır?|ana grupta||NUMERIC|COUNT|3|
Yeryüzündeki suların yüzde kaçı tatlı sulardan oluşur?|suların yüzde||NUMERIC|PERCENTAGE|3%|
Yeryüzündeki yerleşmelerin genel olarak kurulduğu yerler nerelerdir?|yerler||LOCATION|LOCATION|Ova ve düzlükler|
Yeryüzüne yaklaşık olarak kaç adet aktif volkan vardır?|adet aktif volkan|yaklaşık olarak|NUMERIC|COUNT|500|
Yeryüzünün altındaki sıcak suları enerji kaynağı olarak kullanan sistemlere ne ad verilir?|sistemlere ad||DESCRIPTION|DEFINITION|Jeotermal|
Yeryüzünün insan tarafından değiştirilmiş ve değiştirilmekte olan görünümü, coğrafyanın hangi alt dalı tarafından incelenmektedir?|dalı|alt|ENTITY|OTHERS|Beşeri coğrafya|
Yıl boyunca nemli ve yağışlı olan, gür ormanlar ve otlakların bulunduğu yerlerde hangi hayvancılık çeşidi gelişmiştir?|hayvancılık çeşidi||ENTITY|OTHERS|Büyükbaş|
Yıllık yağış miktarının az olduğu kireçli topraklara ne ad verilir?|kireçli topraklara ad||DESCRIPTION|DEFINITION|Kahverengi bozkır topraklar|
Yük ve yolcu taşıma maliyetinin en yüksek olduğu ulaşım yolu hangisidir?|ulaşım yolu||ENTITY|OTHERS|Hava yolları|
Yüksek bulutlara ne denir?|bulutlara denir||ENTITY|CLOUD|sirüs|
Yüksek dağlık alanlarda nüfus yoğunluğunun az olmasının en temel sebebi nedir?|sebebi|en temel|DESCRIPTION|REASON|Ulaşımın sınırlı olması|
Yüksek verim elde etmek için uygulanan modern tarım yöntemlerine ne ad verilir?|tarım yöntemlerine ad|modern|DESCRIPTION|DEFINITION|Entansif tarım|
Yüksekliği 500m'den fazla olan yerlere ne ad verilir?|yerlere ad||ENTITY|ENTITY|Dağ|
Yükselim yağışları Türkiye'de en çok hangi bölgede görülür?|bölgede||LOCATION|REGION.LOCAL|İç Anadolu|
Yükseltiye bağlı olarak yerleşimin sona erdiği noktaya ne denir?|noktaya||DESCRIPTION|DEFINITION|Yerleşmenin yükselti sınırı|
Yunanistan ile mübadele kararını içeren Lozan anlaşması ne zaman imzalanmıştır?|zaman imzalanmıştır||TEMPORAL|DATE|30 ocak 1923|
Yunanistan ve Mora yarımadasını birbirine bağlayan kanalın adı nedir?|kanalın adı||ENTITY|RIVER|Korint Kanalı|
Yüzeye çıkan lav ve tüfün oluşturduğu yer şekline ne denir?|yer şekline denir||DESCRIPTION|DEFINITION|Volkan konisi|
Yüzeye çıkan lav ve tüfün oluşturduğu yer şeklinin adı nedir?|yer şeklinin adı||DESCRIPTION|DEFINITION|Volkan Konisi|
Zararlı bitki ve hayvanları yok etmek için tarım alanlarında kullanılan insan üretimi kimyasal maddelere ne denir?|kimyasal maddelere denir||ENTITY|OTHERS|Pestisitler|
Zorunlu göçler üzerinde etkili olan faktörlere ne isim verilir?|faktörlere isim||DESCRIPTION|DEFINITION|İtici faktörler|
